sample_id,species,environment,treatment_t_acre,temperature_c,rainfall_mm,soil_n_mgkg,soil_p_mgkg,soil_k_mgkg,tissue_n_pct,tissue_p_pct,tissue_k_pct,canopy_moisture,chlorophyll_proxy,ndvi,ndre,ndmi,red_edge_slope,nir_mean,swir_mean,stress_flag,stress_probability,risk_score,scouting_priority
DF-S136,Red,High tunnel,20,29.123,119.83,52.052,31.391,155.1,1.97,0.425,2.36,0.8364,37.419,0.6838,0.4193,0.6376,0.02229,0.6308,0.1288,0,0.0787,19.79,Normal
DF-S137,Red,Open field,0,31.592,143.666,38.804,18.959,85.496,1.896,0.331,1.55,0.8415,34.331,0.6633,0.391,0.6427,0.01978,0.6181,0.1297,0,0.2327,28.47,Normal
DF-S138,Yellow,Open field,10,28.94,173.855,38.979,23.192,117.908,1.837,0.391,1.977,0.9048,34.559,0.6583,0.388,0.6976,0.01972,0.6127,0.0911,0,0.0664,17.82,Normal
DF-S139,White,Open field,0,30.485,173.237,41.21,20.542,72.356,1.89,0.338,1.368,0.8985,32.573,0.668,0.3765,0.7016,0.01995,0.6171,0.1042,1,0.5129,37.74,Monitor
DF-S140,White,Open field,20,28.995,130.43,53.867,27.131,153.692,2.011,0.388,2.313,0.8558,37.413,0.6932,0.4304,0.6538,0.02164,0.6344,0.1217,0,0.0828,18.24,Normal
DF-S141,Red,High tunnel,0,28.191,139.388,44.738,20.511,79.087,1.925,0.343,1.475,0.8682,35.294,0.6652,0.4075,0.6593,0.02108,0.6198,0.117,0,0.0779,19.36,Normal
DF-S142,White,High tunnel,5,28.659,98.952,44.029,20.177,112.66,1.94,0.32,1.889,0.8109,36.339,0.681,0.4198,0.6105,0.02145,0.6307,0.1384,0,0.0688,19.75,Normal
DF-S143,White,Open field,20,28.658,133.106,47.133,34.776,149.728,1.88,0.464,2.358,0.8559,34.01,0.6541,0.3858,0.6476,0.01881,0.6049,0.1228,0,0.0733,20.58,Normal
DF-S144,White,High tunnel,10,31.364,116.898,36.379,24.035,134.313,1.747,0.39,2.036,0.8093,30.654,0.6366,0.3447,0.6127,0.02022,0.5859,0.1435,0,0.2703,31.07,Normal
DF-S145,White,High tunnel,10,27.917,145.363,39.515,29.911,119.653,1.831,0.426,1.984,0.8623,33.099,0.6516,0.3705,0.6604,0.01983,0.604,0.1057,0,0.0941,21.38,Normal
DF-S146,White,High tunnel,5,28.617,128.94,37.66,22.675,103.191,1.789,0.363,1.842,0.8371,32.732,0.6437,0.3514,0.626,0.01937,0.5991,0.1289,0,0.1084,23.37,Normal
DF-S147,White,High tunnel,20,31.583,86.386,55.527,23.213,163.821,1.982,0.342,2.423,0.7821,34.823,0.6707,0.4037,0.5846,0.02047,0.6176,0.1385,0,0.2431,27.12,Normal
DF-S148,Red,Open field,0,27.784,112.462,35.668,23.925,94.585,1.711,0.407,1.715,0.8254,27.841,0.6112,0.2992,0.6192,0.01681,0.5919,0.132,1,0.5518,40.13,Monitor
DF-S149,Red,Open field,0,29.231,105.67,28.388,18.368,96.233,1.731,0.356,1.722,0.7986,30.569,0.631,0.317,0.5984,0.01826,0.5953,0.1443,1,0.5692,40.46,Monitor
DF-S150,White,Open field,20,27.484,123.662,54.89,23.561,161.549,1.918,0.367,2.47,0.8399,34.943,0.6519,0.391,0.6308,0.01989,0.6093,0.1276,0,0.0742,20.68,Normal
DF-S151,White,High tunnel,10,26.75,115.944,44.787,28.35,125.313,1.937,0.428,2.006,0.8358,35.923,0.6768,0.4074,0.634,0.02072,0.6287,0.1287,0,0.0944,20.08,Normal
DF-S152,Red,High tunnel,0,27.39,131.957,31.36,16.222,90.065,1.72,0.284,1.545,0.8415,28.958,0.6171,0.3059,0.6418,0.01814,0.5938,0.1242,1,0.574,39.46,Monitor
DF-S153,Red,Open field,10,30.783,146.109,50.137,22.95,117.907,1.977,0.329,1.979,0.857,37.431,0.688,0.4274,0.658,0.02192,0.6262,0.1169,0,0.1032,19.73,Normal
DF-S154,Red,Open field,10,26.685,128.489,41.867,22.513,120.389,1.863,0.347,2.113,0.855,34.715,0.6618,0.3899,0.6466,0.02019,0.6121,0.1241,0,0.0882,20.68,Normal
DF-S155,White,High tunnel,5,28.083,107.338,36.402,23.922,104.165,1.856,0.414,1.786,0.8199,32.825,0.6345,0.3511,0.6136,0.01888,0.6003,0.1315,0,0.1057,23.64,Normal
DF-S156,Yellow,Open field,0,27.221,107.894,39.162,22.619,94.281,1.91,0.367,1.683,0.8255,35.742,0.6722,0.4031,0.621,0.02099,0.6176,0.135,0,0.0881,21.1,Normal
DF-S157,White,High tunnel,20,26.868,106.037,53.096,28.491,160.045,2.042,0.425,2.412,0.8277,38.685,0.6963,0.445,0.6222,0.02215,0.6421,0.1244,0,0.0639,17.81,Normal
DF-S158,Red,Open field,5,29.432,122.73,43.618,25.946,105.362,1.829,0.401,1.755,0.8313,32.732,0.6533,0.3516,0.6244,0.01919,0.6096,0.128,0,0.0917,22.83,Normal
DF-S159,White,High tunnel,10,28.91,112.432,43.233,22.228,124.752,1.896,0.355,1.999,0.8325,35.618,0.6652,0.3957,0.6201,0.02027,0.6179,0.1375,0,0.0883,21.7,Normal
DF-S160,Red,Open field,5,29.816,137.321,40.953,20.403,109.486,1.798,0.38,1.789,0.8531,31.475,0.6318,0.3376,0.6465,0.01935,0.6001,0.12,0,0.1033,23.31,Normal
DF-S161,White,High tunnel,0,28.471,119.363,32.228,24.745,94.349,1.761,0.35,1.612,0.8229,28.962,0.6186,0.3145,0.6228,0.01807,0.5976,0.1366,0,0.1027,26.22,Normal
DF-S162,White,Open field,0,29.493,119.02,30.431,18.099,93.926,1.834,0.317,1.673,0.8263,33.126,0.6438,0.3582,0.6229,0.02019,0.6096,0.1319,0,0.0889,23.2,Normal
DF-S163,Red,High tunnel,10,30.222,148.419,40.95,26.229,114.719,1.872,0.414,1.904,0.8669,33.183,0.6472,0.3674,0.6634,0.01987,0.6122,0.1149,0,0.1143,21.85,Normal
DF-S164,White,High tunnel,20,27.3,111.233,48.677,31.649,159.818,1.91,0.438,2.404,0.8336,35.093,0.6557,0.3978,0.6267,0.02036,0.612,0.1374,0,0.0994,21.23,Normal
DF-S165,Red,Open field,0,30.237,111.037,35.241,18.636,98.275,1.778,0.345,1.671,0.813,30.331,0.6265,0.3299,0.6125,0.01829,0.5983,0.1327,0,0.1066,25.29,Normal
DF-S166,White,High tunnel,20,28.639,118.905,55.435,26.784,159.049,1.988,0.382,2.393,0.8388,36.523,0.6844,0.4168,0.6306,0.02056,0.6334,0.128,0,0.0839,19.24,Normal
DF-S167,Red,High tunnel,10,30.114,119.62,38.952,22.798,125.2,1.834,0.376,2.082,0.8338,32.043,0.6375,0.3553,0.6279,0.0192,0.5967,0.1316,0,0.0968,23.1,Normal
DF-S168,White,High tunnel,10,29.754,155.562,43.423,24.177,118.518,1.854,0.374,2.007,0.8792,33.315,0.6585,0.378,0.6733,0.01989,0.6114,0.109,0,0.0821,19.61,Normal
DF-S169,White,Open field,0,30.348,126.677,33.132,17.966,96.834,1.801,0.334,1.755,0.8314,31.441,0.6356,0.3452,0.6261,0.0195,0.6046,0.1274,0,0.0899,23.42,Normal
DF-S170,White,High tunnel,10,31.82,79.454,42.272,22.525,136.677,1.877,0.362,2.154,0.752,34.554,0.6553,0.3748,0.5628,0.02036,0.6044,0.1635,0,0.2674,31.15,Normal
DF-S171,Red,High tunnel,0,30.423,111.539,37.372,14.963,95.449,1.73,0.276,1.698,0.8138,29.564,0.6157,0.3163,0.6082,0.01869,0.592,0.139,1,0.5134,37.45,Monitor
DF-S172,White,High tunnel,10,30.832,130.766,41.403,22.825,126.101,1.815,0.378,2.056,0.8409,31.485,0.6517,0.3489,0.6369,0.01935,0.6133,0.1287,0,0.0966,22.85,Normal
DF-S173,White,High tunnel,5,27.963,119.645,43.342,26.765,108.082,1.927,0.399,1.838,0.839,34.668,0.6647,0.3971,0.6318,0.02026,0.6119,0.1377,0,0.0846,20.93,Normal
DF-S174,Red,Open field,0,27.48,147.249,34.168,20.448,89.466,1.79,0.336,1.618,0.8739,31.867,0.6398,0.3443,0.6679,0.01939,0.6102,0.119,0,0.1071,22.3,Normal
DF-S175,White,Open field,5,31.064,135.077,44.199,23.571,103.189,1.798,0.369,1.757,0.8467,32.538,0.6474,0.3542,0.6463,0.01954,0.6015,0.1193,0,0.2702,31.4,Normal
DF-S176,Red,Open field,20,28.058,111.72,48.946,34.878,158.345,1.969,0.471,2.366,0.8334,36.833,0.6721,0.4157,0.6333,0.02098,0.6259,0.1285,0,0.0624,19.54,Normal
DF-S177,White,Open field,10,29.029,97.651,38.069,24.645,125.028,1.788,0.415,2.054,0.8061,31.557,0.6277,0.3374,0.6115,0.01883,0.5927,0.1421,0,0.104,25.52,Normal
DF-S178,White,High tunnel,20,31.028,132.709,49.297,27.798,143.237,1.902,0.407,2.263,0.839,34.452,0.6676,0.389,0.6399,0.01984,0.6203,0.1284,0,0.2468,27.8,Normal
DF-S179,White,Open field,0,28.543,111.864,43.872,20.798,94.653,1.979,0.34,1.646,0.8272,35.843,0.6843,0.4213,0.6165,0.02135,0.6373,0.1261,0,0.091,19.7,Normal
DF-S180,White,High tunnel,5,28.596,119.914,35.063,20.337,105.885,1.815,0.332,1.858,0.8384,31.9,0.6449,0.3493,0.6287,0.01911,0.6043,0.1296,0,0.0939,23.12,Normal
